Accuracy , Precision , Recall , Error , F-score , Specificity , 
0.96 , 0.965 , 0.965 , 0.04 , 0.965 , 0.951 , 
0.97 , 0.973 , 0.973 , 0.03 , 0.973 , 0.975 , 
0.96 , 0.965 , 0.965 , 0.04 , 0.964 , 0.974 , 
0.97 , 0.973 , 0.973 , 0.03 , 0.973 , 0.975 , 
0.97 , 0.973 , 0.973 , 0.03 , 0.973 , 0.975 , 
0.98 , 0.983 , 0.982 , 0.02 , 0.982 , 1.0 , 
0.97 , 0.973 , 0.973 , 0.03 , 0.973 , 0.975 , 
0.97 , 0.973 , 0.973 , 0.03 , 0.973 , 0.975 , 
0.97 , 0.973 , 0.973 , 0.03 , 0.973 , 0.975 , 
0.97 , 0.973 , 0.973 , 0.03 , 0.973 , 0.975 , 
0.98 , 0.983 , 0.982 , 0.02 , 0.982 , 1.0 , 
0.98 , 0.983 , 0.982 , 0.02 , 0.982 , 1.0 , 
0.97 , 0.973 , 0.973 , 0.03 , 0.973 , 0.975 , 
0.97 , 0.973 , 0.973 , 0.03 , 0.973 , 0.975 , 
0.97 , 0.973 , 0.973 , 0.03 , 0.973 , 0.975 , 
0.98 , 0.983 , 0.982 , 0.02 , 0.982 , 1.0 , 
0.97 , 0.973 , 0.973 , 0.03 , 0.973 , 0.975 , 
0.98 , 0.983 , 0.982 , 0.02 , 0.982 , 1.0 , 
0.97 , 0.973 , 0.973 , 0.03 , 0.973 , 0.975 , 
0.97 , 0.973 , 0.973 , 0.03 , 0.973 , 0.975 , 
