Accuracy , Precision , Recall , Error , F-score , Specificity , 
0.965 , 0.947 , 0.947 , 0.035 , 0.965 , 0.947 , 
0.912 , 1.0 , 0.882 , 0.088 , 0.89 , 1.0 , 
0.965 , 1.0 , 0.92 , 0.035 , 0.965 , 1.0 , 
0.982 , 0.947 , 0.947 , 0.018 , 0.948 , 0.9 , 
0.982 , 1.0 , 0.952 , 0.018 , 0.982 , 1.0 , 
0.982 , 0.947 , 0.947 , 0.018 , 0.965 , 0.947 , 
0.965 , 1.0 , 0.955 , 0.035 , 0.982 , 0.955 , 
1.0 , 1.0 , 1.0 , 0.0 , 0.982 , 1.0 , 
0.982 , 0.96 , 1.0 , 0.018 , 1.0 , 0.96 , 
0.964 , 1.0 , 0.929 , 0.036 , 0.964 , 1.0 , 
