Accuracy , Precision , Recall , Error , F-score , Specificity , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
0.947 , 0.818 , 1.0 , 0.053 , 0.947 , 0.818 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
0.947 , 1.0 , 0.875 , 0.053 , 0.947 , 1.0 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
0.947 , 1.0 , 1.0 , 0.053 , 0.947 , 1.0 , 
0.947 , 1.0 , 0.833 , 0.053 , 0.946 , 1.0 , 
0.895 , 1.0 , 0.714 , 0.105 , 0.89 , 1.0 , 
0.947 , 1.0 , 0.833 , 0.053 , 0.946 , 1.0 , 
0.947 , 1.0 , 0.857 , 0.053 , 0.946 , 1.0 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
1.0 , 0.8 , 1.0 , 0.0 , 0.949 , 1.0 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
1.0 , 1.0 , 0.889 , 0.0 , 0.947 , 1.0 , 
0.947 , 1.0 , 1.0 , 0.053 , 1.0 , 1.0 , 
0.947 , 1.0 , 0.8 , 0.053 , 0.945 , 1.0 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
0.947 , 0.875 , 1.0 , 0.053 , 0.948 , 0.875 , 
0.947 , 1.0 , 0.857 , 0.053 , 0.946 , 1.0 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
0.947 , 1.0 , 0.833 , 0.053 , 0.946 , 1.0 , 
0.947 , 1.0 , 0.889 , 0.053 , 0.947 , 1.0 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
0.895 , 1.0 , 0.857 , 0.105 , 0.946 , 1.0 , 
0.947 , 1.0 , 0.857 , 0.053 , 1.0 , 1.0 , 
0.947 , 0.889 , 1.0 , 0.053 , 1.0 , 0.889 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
