Accuracy , Precision , Recall , Error , F-score , Specificity , 
0.96 , 0.966 , 0.965 , 0.04 , 0.965 , 0.932 , 
0.96 , 0.966 , 0.965 , 0.04 , 0.965 , 0.932 , 
0.96 , 0.966 , 0.965 , 0.04 , 0.965 , 0.932 , 
0.96 , 0.966 , 0.965 , 0.04 , 0.965 , 0.932 , 
0.96 , 0.966 , 0.965 , 0.04 , 0.965 , 0.932 , 
0.97 , 0.974 , 0.973 , 0.03 , 0.974 , 0.953 , 
0.97 , 0.974 , 0.973 , 0.03 , 0.974 , 0.953 , 
0.96 , 0.958 , 0.956 , 0.04 , 0.956 , 0.911 , 
0.96 , 0.966 , 0.965 , 0.04 , 0.965 , 0.932 , 
0.96 , 0.958 , 0.956 , 0.04 , 0.956 , 0.911 , 
0.96 , 0.966 , 0.965 , 0.04 , 0.965 , 0.932 , 
0.96 , 0.966 , 0.965 , 0.04 , 0.965 , 0.932 , 
0.96 , 0.958 , 0.956 , 0.04 , 0.956 , 0.911 , 
0.96 , 0.966 , 0.965 , 0.04 , 0.965 , 0.932 , 
0.96 , 0.966 , 0.965 , 0.04 , 0.965 , 0.932 , 
0.96 , 0.966 , 0.965 , 0.04 , 0.965 , 0.932 , 
0.96 , 0.966 , 0.965 , 0.04 , 0.965 , 0.932 , 
0.97 , 0.974 , 0.973 , 0.03 , 0.974 , 0.953 , 
0.96 , 0.958 , 0.956 , 0.04 , 0.956 , 0.911 , 
