Accuracy , Precision , Recall , Error , F-score , Specificity , 
0.97 , 0.974 , 0.969 , 0.027 , 0.971 , 0.975 , 
0.97 , 0.974 , 0.969 , 0.027 , 0.971 , 0.975 , 
0.97 , 0.974 , 0.969 , 0.027 , 0.971 , 0.975 , 
0.96 , 0.962 , 0.962 , 0.035 , 0.962 , 0.951 , 
0.97 , 0.974 , 0.969 , 0.027 , 0.971 , 0.975 , 
0.97 , 0.974 , 0.969 , 0.027 , 0.971 , 0.975 , 
0.97 , 0.974 , 0.969 , 0.027 , 0.971 , 0.975 , 
0.97 , 0.974 , 0.969 , 0.027 , 0.971 , 0.975 , 
0.97 , 0.974 , 0.969 , 0.027 , 0.971 , 0.975 , 
0.97 , 0.974 , 0.969 , 0.027 , 0.971 , 0.975 , 
0.97 , 0.974 , 0.969 , 0.027 , 0.971 , 0.975 , 
0.98 , 0.986 , 0.976 , 0.018 , 0.981 , 1.0 , 
0.97 , 0.974 , 0.969 , 0.027 , 0.971 , 0.975 , 
0.96 , 0.967 , 0.956 , 0.035 , 0.962 , 0.974 , 
0.98 , 0.986 , 0.976 , 0.018 , 0.981 , 1.0 , 
0.97 , 0.974 , 0.969 , 0.027 , 0.971 , 0.975 , 
0.97 , 0.98 , 0.963 , 0.027 , 0.972 , 1.0 , 
0.97 , 0.974 , 0.969 , 0.027 , 0.971 , 0.975 , 
0.97 , 0.974 , 0.969 , 0.027 , 0.971 , 0.975 , 
0.96 , 0.967 , 0.956 , 0.035 , 0.962 , 0.974 , 
