Accuracy , Precision , Recall , Error , F-score , Specificity , 
0.94 , 0.932 , 0.936 , 0.062 , 0.934 , 0.957 , 
0.94 , 0.929 , 0.951 , 0.062 , 0.94 , 1.0 , 
0.94 , 0.929 , 0.946 , 0.062 , 0.937 , 0.985 , 
0.96 , 0.959 , 0.967 , 0.035 , 0.963 , 0.986 , 
0.94 , 0.929 , 0.946 , 0.062 , 0.937 , 0.985 , 
0.95 , 0.938 , 0.953 , 0.053 , 0.945 , 0.985 , 
0.96 , 0.959 , 0.967 , 0.035 , 0.963 , 0.986 , 
0.96 , 0.948 , 0.96 , 0.044 , 0.954 , 0.985 , 
0.96 , 0.948 , 0.96 , 0.044 , 0.954 , 0.985 , 
0.96 , 0.948 , 0.96 , 0.044 , 0.954 , 0.985 , 
0.96 , 0.948 , 0.96 , 0.044 , 0.954 , 0.985 , 
0.96 , 0.959 , 0.967 , 0.035 , 0.963 , 0.986 , 
0.95 , 0.938 , 0.953 , 0.053 , 0.945 , 0.985 , 
0.96 , 0.948 , 0.96 , 0.044 , 0.954 , 0.985 , 
0.96 , 0.948 , 0.96 , 0.044 , 0.954 , 0.985 , 
0.94 , 0.929 , 0.946 , 0.062 , 0.937 , 0.985 , 
0.95 , 0.938 , 0.953 , 0.053 , 0.945 , 0.985 , 
0.96 , 0.948 , 0.96 , 0.044 , 0.954 , 0.985 , 
0.93 , 0.919 , 0.939 , 0.071 , 0.929 , 0.985 , 
