Accuracy , Precision , Recall , Error , F-score , Specificity , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
0.78 , 0.833 , 0.8 , 0.222 , 0.816 , 0.667 , 
0.78 , 0.8 , 0.833 , 0.222 , 0.816 , 1.0 , 
0.89 , 0.857 , 0.923 , 0.111 , 0.889 , 0.714 , 
0.78 , 0.778 , 0.846 , 0.222 , 0.811 , 0.556 , 
0.94 , 0.944 , 0.95 , 0.056 , 0.947 , 0.889 , 
0.94 , 0.955 , 0.938 , 0.056 , 0.946 , 1.0 , 
0.61 , 0.731 , 0.708 , 0.389 , 0.719 , 1.0 , 
0.61 , 0.708 , 0.731 , 0.389 , 0.719 , 0.417 , 
0.89 , 0.9 , 0.9 , 0.111 , 0.9 , 1.0 , 
0.94 , 0.95 , 0.944 , 0.056 , 0.947 , 0.9 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
0.94 , 0.962 , 0.917 , 0.056 , 0.939 , 1.0 , 
0.83 , 0.833 , 0.838 , 0.167 , 0.835 , 0.889 , 
0.94 , 0.929 , 0.958 , 0.056 , 0.943 , 1.0 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
0.94 , 0.964 , 0.9 , 0.056 , 0.931 , 0.929 , 
0.83 , 0.85 , 0.864 , 0.167 , 0.857 , 1.0 , 
0.89 , 0.909 , 0.889 , 0.111 , 0.899 , 1.0 , 
0.67 , 0.75 , 0.75 , 0.333 , 0.75 , 0.5 , 
0.33 , 0.571 , 0.625 , 0.667 , 0.597 , 0.143 , 
0.61 , 0.65 , 0.767 , 0.389 , 0.704 , 0.3 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
0.94 , 0.962 , 0.917 , 0.056 , 0.939 , 1.0 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
