Accuracy , Precision , Recall , Error , F-score , Specificity , 
0.8 , 0.794 , 0.8 , 0.2 , 0.79 , 0.815 , 
0.86 , 0.855 , 0.857 , 0.14 , 0.853 , 0.865 , 
0.84 , 0.846 , 0.843 , 0.16 , 0.833 , 0.836 , 
0.83 , 0.833 , 0.829 , 0.17 , 0.816 , 0.821 , 
0.84 , 0.846 , 0.843 , 0.16 , 0.833 , 0.836 , 
0.81 , 0.819 , 0.814 , 0.19 , 0.798 , 0.807 , 
0.81 , 0.819 , 0.814 , 0.19 , 0.798 , 0.807 , 
0.84 , 0.846 , 0.843 , 0.16 , 0.833 , 0.836 , 
0.86 , 0.855 , 0.857 , 0.14 , 0.853 , 0.865 , 
0.86 , 0.859 , 0.857 , 0.14 , 0.85 , 0.852 , 
0.83 , 0.833 , 0.829 , 0.17 , 0.816 , 0.821 , 
0.84 , 0.846 , 0.843 , 0.16 , 0.833 , 0.836 , 
0.86 , 0.859 , 0.857 , 0.14 , 0.85 , 0.852 , 
0.86 , 0.859 , 0.857 , 0.14 , 0.85 , 0.852 , 
0.86 , 0.859 , 0.857 , 0.14 , 0.85 , 0.852 , 
0.83 , 0.833 , 0.829 , 0.17 , 0.816 , 0.821 , 
0.83 , 0.833 , 0.829 , 0.17 , 0.816 , 0.821 , 
0.84 , 0.846 , 0.843 , 0.16 , 0.833 , 0.836 , 
0.83 , 0.833 , 0.829 , 0.17 , 0.816 , 0.821 , 
0.84 , 0.846 , 0.843 , 0.16 , 0.833 , 0.836 , 
