Accuracy , Precision , Recall , Error , F-score , Specificity , 
0.972 , 1.0 , 0.926 , 0.028 , 0.946 , 1.0 , 
0.886 , 0.862 , 0.962 , 0.114 , 0.881 , 0.867 , 
0.886 , 0.815 , 1.0 , 0.114 , 0.813 , 0.846 , 
0.743 , 0.8 , 0.913 , 0.257 , 0.792 , 0.8 , 
0.714 , 0.667 , 1.0 , 0.286 , 0.722 , 0.643 , 
0.857 , 0.84 , 1.0 , 0.143 , 0.942 , 0.875 , 
0.886 , 0.913 , 1.0 , 0.114 , 0.912 , 0.913 , 
0.857 , 0.9 , 1.0 , 0.143 , 0.907 , 0.931 , 
0.857 , 0.778 , 1.0 , 0.143 , 0.816 , 0.8 , 
0.914 , 0.864 , 1.0 , 0.086 , 0.913 , 0.864 , 
