Accuracy , Precision , Recall , Error , F-score , Specificity , 
0.917 , 0.909 , 1.0 , 0.083 , 0.905 , 0.833 , 
0.917 , 0.875 , 1.0 , 0.083 , 0.915 , 0.875 , 
0.917 , 0.875 , 1.0 , 0.083 , 0.915 , 0.875 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
0.917 , 0.875 , 1.0 , 0.083 , 0.915 , 0.875 , 
0.833 , 0.75 , 1.0 , 0.167 , 0.829 , 0.75 , 
0.75 , 0.7 , 1.0 , 0.25 , 0.718 , 0.636 , 
0.917 , 1.0 , 1.0 , 0.083 , 0.916 , 0.857 , 
0.833 , 0.75 , 1.0 , 0.167 , 0.829 , 0.667 , 
0.75 , 0.625 , 1.0 , 0.25 , 0.833 , 0.625 , 
1.0 , 1.0 , 1.0 , 0.0 , 0.911 , 1.0 , 
0.917 , 0.917 , 1.0 , 0.083 , 0.877 , 0.917 , 
0.917 , 1.0 , 1.0 , 0.083 , 1.0 , 1.0 , 
0.917 , 1.0 , 1.0 , 0.083 , 1.0 , 0.9 , 
0.917 , 1.0 , 0.875 , 0.083 , 0.919 , 1.0 , 
0.917 , 1.0 , 1.0 , 0.083 , 0.917 , 0.833 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 0.9 , 
1.0 , 0.909 , 0.9 , 0.0 , 1.0 , 1.0 , 
0.667 , 0.556 , 1.0 , 0.333 , 0.745 , 0.556 , 
0.917 , 0.857 , 0.75 , 0.083 , 0.756 , 1.0 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
0.545 , 0.5 , 1.0 , 0.455 , 0.713 , 0.556 , 
0.727 , 0.667 , 1.0 , 0.273 , 0.696 , 0.667 , 
0.818 , 0.818 , 1.0 , 0.182 , 0.736 , 0.818 , 
0.909 , 0.857 , 1.0 , 0.091 , 0.908 , 0.857 , 
0.818 , 0.714 , 1.0 , 0.182 , 0.908 , 0.75 , 
0.909 , 0.889 , 1.0 , 0.091 , 0.903 , 0.889 , 
0.545 , 0.429 , 1.0 , 0.455 , 0.427 , 0.429 , 
0.909 , 0.8 , 0.8 , 0.091 , 0.818 , 0.8 , 
