Accuracy , Precision , Recall , Error , F-score , Specificity , 
0.89 , 0.886 , 0.886 , 0.11 , 0.882 , 0.885 , 
0.9 , 0.904 , 0.9 , 0.1 , 0.896 , 0.887 , 
0.89 , 0.891 , 0.886 , 0.11 , 0.88 , 0.87 , 
0.9 , 0.904 , 0.9 , 0.1 , 0.896 , 0.887 , 
0.91 , 0.917 , 0.914 , 0.09 , 0.912 , 0.904 , 
0.89 , 0.891 , 0.886 , 0.11 , 0.88 , 0.87 , 
0.91 , 0.917 , 0.914 , 0.09 , 0.912 , 0.904 , 
0.89 , 0.891 , 0.886 , 0.11 , 0.88 , 0.87 , 
0.89 , 0.886 , 0.886 , 0.11 , 0.882 , 0.885 , 
0.89 , 0.891 , 0.886 , 0.11 , 0.88 , 0.87 , 
0.89 , 0.891 , 0.886 , 0.11 , 0.88 , 0.87 , 
0.89 , 0.891 , 0.886 , 0.11 , 0.88 , 0.87 , 
0.9 , 0.904 , 0.9 , 0.1 , 0.896 , 0.887 , 
0.9 , 0.904 , 0.9 , 0.1 , 0.896 , 0.887 , 
0.9 , 0.904 , 0.9 , 0.1 , 0.896 , 0.887 , 
0.87 , 0.872 , 0.871 , 0.13 , 0.866 , 0.868 , 
0.87 , 0.879 , 0.871 , 0.13 , 0.864 , 0.855 , 
0.86 , 0.859 , 0.857 , 0.14 , 0.85 , 0.852 , 
0.87 , 0.872 , 0.871 , 0.13 , 0.866 , 0.868 , 
