Accuracy , Precision , Recall , Error , F-score , Specificity , 
0.83 , 0.823 , 0.764 , 0.171 , 0.792 , 0.833 , 
0.89 , 0.875 , 0.855 , 0.114 , 0.865 , 0.9 , 
0.8 , 0.813 , 0.706 , 0.2 , 0.756 , 0.793 , 
0.83 , 0.823 , 0.764 , 0.171 , 0.792 , 0.833 , 
0.86 , 0.863 , 0.797 , 0.143 , 0.829 , 0.852 , 
0.84 , 0.836 , 0.787 , 0.157 , 0.811 , 0.849 , 
0.86 , 0.863 , 0.797 , 0.143 , 0.829 , 0.852 , 
0.86 , 0.863 , 0.797 , 0.143 , 0.829 , 0.852 , 
0.83 , 0.839 , 0.752 , 0.171 , 0.793 , 0.821 , 
0.84 , 0.852 , 0.775 , 0.157 , 0.811 , 0.836 , 
0.84 , 0.852 , 0.775 , 0.157 , 0.811 , 0.836 , 
0.84 , 0.874 , 0.762 , 0.157 , 0.814 , 0.825 , 
0.86 , 0.884 , 0.785 , 0.143 , 0.832 , 0.839 , 
0.8 , 0.887 , 0.682 , 0.2 , 0.771 , 0.774 , 
0.81 , 0.853 , 0.717 , 0.186 , 0.779 , 0.797 , 
0.84 , 0.852 , 0.775 , 0.157 , 0.811 , 0.836 , 
0.83 , 0.864 , 0.74 , 0.171 , 0.797 , 0.81 , 
0.83 , 0.864 , 0.74 , 0.171 , 0.797 , 0.81 , 
0.77 , 0.875 , 0.636 , 0.229 , 0.737 , 0.75 , 
0.83 , 0.839 , 0.752 , 0.171 , 0.793 , 0.821 , 
