Accuracy , Precision , Recall , Error , F-score , Specificity , 
0.89 , 0.904 , 0.83 , 0.114 , 0.866 , 0.938 , 
0.9 , 0.914 , 0.853 , 0.1 , 0.883 , 0.941 , 
0.84 , 0.852 , 0.775 , 0.157 , 0.811 , 0.867 , 
0.87 , 0.875 , 0.82 , 0.129 , 0.847 , 0.882 , 
0.86 , 0.863 , 0.797 , 0.143 , 0.829 , 0.875 , 
0.87 , 0.894 , 0.808 , 0.129 , 0.849 , 0.933 , 
0.9 , 0.914 , 0.853 , 0.1 , 0.883 , 0.941 , 
0.89 , 0.904 , 0.83 , 0.114 , 0.866 , 0.938 , 
0.83 , 0.839 , 0.752 , 0.171 , 0.793 , 0.857 , 
0.87 , 0.875 , 0.82 , 0.129 , 0.847 , 0.882 , 
0.87 , 0.894 , 0.808 , 0.129 , 0.849 , 0.933 , 
0.87 , 0.894 , 0.808 , 0.129 , 0.849 , 0.933 , 
0.87 , 0.894 , 0.808 , 0.129 , 0.849 , 0.933 , 
0.9 , 0.914 , 0.853 , 0.1 , 0.883 , 0.941 , 
0.86 , 0.863 , 0.797 , 0.143 , 0.829 , 0.875 , 
0.89 , 0.887 , 0.843 , 0.114 , 0.864 , 0.889 , 
0.87 , 0.894 , 0.808 , 0.129 , 0.849 , 0.933 , 
0.86 , 0.863 , 0.797 , 0.143 , 0.829 , 0.875 , 
0.87 , 0.875 , 0.82 , 0.129 , 0.847 , 0.882 , 
