Accuracy , Precision , Recall , Error , F-score , Specificity , 
0.89 , 0.875 , 0.814 , 0.114 , 0.843 , 0.857 , 
0.86 , 0.896 , 0.844 , 0.143 , 0.869 , 0.792 , 
0.89 , 0.89 , 0.853 , 0.114 , 0.871 , 0.88 , 
0.74 , 0.745 , 0.725 , 0.257 , 0.735 , 0.75 , 
0.91 , 0.942 , 0.875 , 0.086 , 0.907 , 1.0 , 
0.86 , 0.907 , 0.808 , 0.143 , 0.855 , 1.0 , 
0.86 , 0.871 , 0.833 , 0.143 , 0.852 , 0.833 , 
0.91 , 0.938 , 0.893 , 0.086 , 0.915 , 1.0 , 
0.86 , 0.831 , 0.81 , 0.143 , 0.82 , 0.778 , 
0.94 , 0.964 , 0.9 , 0.056 , 0.931 , 1.0 , 
