Accuracy , Precision , Recall , Error , F-score , Specificity , 
0.91 , 0.929 , 0.9 , 0.091 , 0.914 , 1.0 , 
0.82 , 0.9 , 0.667 , 0.182 , 0.766 , 0.8 , 
0.91 , 0.929 , 0.9 , 0.091 , 0.914 , 0.857 , 
0.82 , 0.771 , 0.771 , 0.182 , 0.771 , 0.875 , 
0.82 , 0.817 , 0.817 , 0.182 , 0.817 , 0.8 , 
0.82 , 0.875 , 0.8 , 0.182 , 0.836 , 0.75 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
0.91 , 0.917 , 0.917 , 0.091 , 0.917 , 0.833 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
0.91 , 0.833 , 0.944 , 0.091 , 0.885 , 0.667 , 
0.64 , 0.583 , 0.554 , 0.364 , 0.568 , 0.667 , 
0.73 , 0.812 , 0.75 , 0.273 , 0.78 , 0.625 , 
0.91 , 0.944 , 0.833 , 0.091 , 0.885 , 1.0 , 
0.82 , 0.771 , 0.771 , 0.182 , 0.771 , 0.667 , 
0.91 , 0.938 , 0.875 , 0.091 , 0.905 , 0.875 , 
0.91 , 0.929 , 0.9 , 0.091 , 0.914 , 0.857 , 
0.82 , 0.804 , 0.804 , 0.182 , 0.804 , 0.75 , 
0.91 , 0.833 , 0.944 , 0.091 , 0.885 , 0.667 , 
0.82 , 0.817 , 0.817 , 0.182 , 0.817 , 0.833 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
0.73 , 0.679 , 0.708 , 0.273 , 0.693 , 0.5 , 
0.82 , 0.889 , 0.75 , 0.182 , 0.814 , 0.778 , 
0.91 , 0.938 , 0.875 , 0.091 , 0.905 , 0.875 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
0.82 , 0.667 , 0.9 , 0.182 , 0.766 , 0.333 , 
0.73 , 0.85 , 0.625 , 0.273 , 0.72 , 1.0 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
1.0 , 1.0 , 1.0 , 0.0 , 1.0 , 1.0 , 
